EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,10,8,10,6,7,5,6,9,14,üliintellekt; teadus; filosoofia; jüri; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
8,10,8,10,6,7,5,7,10,14,üliintellekt; teadus; filosoofia; jüri; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
7,10,8,10,6,8,5,7,10,14,üliintellekt; teadus; filosoofia; jüri; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
7,11,9,10,7,8,6,8,11,14,üliintellekt; teadus; filosoofia; jüri; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
8,11,10,9,7,8,9,9,12,14,üliintellekt; teadus; filosoofia; jüri; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
8,12,10,8,7,9,12,11,12,14,teadus; üliintellekt; jüri; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
7,12,12,6,8,11,9,11,12,14,teadus; üliintellekt; jüri; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
12,10,10,10,9,11,9,13,10,14,teadus; üliintellekt; filosoofia; jüri; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
9,11,9,9,9,10,8,9,10,14,teadus; üliintellekt; jüri; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
11,10,10,10,11,12,10,10,11,14,teadus; üliintellekt; jüri; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
10,9,12,10,10,10,11,9,11,14,teadus; üliintellekt; jüri; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
