EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,6,9,8,10,4,11,11,13,erik; otsesaade; bänd; parmupill; festival; meister; rajasaar; intervjuu; artist; jaan; eurosonic; kristo; morna
10,10,6,9,8,10,4,11,11,13,erik; otsesaade; bänd; parmupill; festival; meister; rajasaar; intervjuu; artist; jaan; eurosonic; kristo; morna
10,10,6,8,8,10,5,11,11,13,erik; otsesaade; bänd; parmupill; festival; meister; rajasaar; intervjuu; artist; jaan; eurosonic; kristo; morna
9,9,7,8,8,9,7,13,11,13,erik; otsesaade; bänd; parmupill; festival; meister; rajasaar; intervjuu; artist; jaan; eurosonic; kristo; morna
10,9,11,8,8,10,9,13,11,13,erik; otsesaade; bänd; parmupill; festival; meister; rajasaar; intervjuu; artist; jaan; eurosonic; kristo; morna
10,11,11,9,7,9,8,13,11,13,erik; otsesaade; bänd; parmupill; festival; meister; rajasaar; intervjuu; artist; jaan; eurosonic; kristo; morna
12,9,12,9,8,11,7,12,12,13,erik; otsesaade; bänd; parmupill; festival; meister; rajasaar; intervjuu; artist; jaan; eurosonic; kristo; morna
10,10,11,6,8,10,9,12,12,13,erik; otsesaade; bänd; parmupill; festival; meister; rajasaar; intervjuu; artist; jaan; eurosonic; kristo; morna
11,9,11,5,9,8,9,11,11,13,erik; otsesaade; bänd; parmupill; festival; meister; rajasaar; intervjuu; artist; jaan; eurosonic; kristo; morna
12,9,12,5,7,7,10,10,10,13,erik; otsesaade; bänd; parmupill; festival; meister; rajasaar; intervjuu; artist; jaan; eurosonic; kristo; morna
13,8,12,5,9,11,9,10,11,13,erik; otsesaade; bänd; parmupill; festival; meister; rajasaar; intervjuu; artist; jaan; eurosonic; kristo; morna
