EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,11,4,8,8,5,5,6,4,15,tõlkimisvahend; süsteem; sõnapaar; tohuvabohu; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
9,11,4,8,8,6,5,6,4,15,tõlkimisvahend; süsteem; sõnapaar; tohuvabohu; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
9,12,5,8,8,7,5,7,4,15,tõlkimisvahend; süsteem; sõnapaar; tohuvabohu; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
9,12,6,8,8,7,6,6,4,15,tõlkimisvahend; süsteem; sõnapaar; tohuvabohu; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
10,13,8,7,8,7,7,8,4,15,tõlkimisvahend; süsteem; sõnapaar; tohuvabohu; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
11,13,11,7,9,9,7,8,3,15,tõlkimisvahend; sõnapaar; süsteem; tohuvabohu; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
8,10,10,6,9,9,10,10,3,15,tõlkimisvahend; sõnapaar; tohuvabohu; süsteem; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
10,7,12,6,8,11,9,13,3,15,tõlkimisvahend; sõnapaar; süsteem; tohuvabohu; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
11,8,13,6,7,11,8,12,6,15,tõlkimisvahend; sõnapaar; tohuvabohu; süsteem; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
9,10,13,5,5,11,9,13,6,15,tõlkimisvahend; tohuvabohu; sõnapaar; süsteem; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
8,8,11,6,7,8,8,10,8,15,tõlkimisvahend; sõnapaar; tohuvabohu; süsteem; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
