EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,10,10,6,10,10,10,10,12,kollane; intervjuu; romaan; mati; kass; iroonia; tulevik; unt; luuletaja; viivi
10,9,10,10,6,10,10,10,10,12,kollane; intervjuu; romaan; mati; kass; iroonia; tulevik; unt; luuletaja; viivi
10,9,10,10,6,10,10,10,10,12,kollane; intervjuu; romaan; mati; kass; iroonia; tulevik; unt; luuletaja; viivi
10,9,9,10,6,10,10,10,10,12,kollane; intervjuu; romaan; mati; kass; iroonia; tulevik; unt; luuletaja; viivi
10,9,10,10,7,10,10,10,10,12,kollane; intervjuu; romaan; mati; kass; iroonia; tulevik; unt; luuletaja; viivi
10,10,10,10,7,10,10,10,10,12,kollane; intervjuu; romaan; mati; kass; iroonia; tulevik; unt; luuletaja; viivi
10,10,10,10,7,10,10,10,10,12,kollane; intervjuu; romaan; mati; kass; iroonia; tulevik; unt; luuletaja; viivi
9,10,10,10,9,10,10,10,10,12,kollane; intervjuu; romaan; mati; kass; iroonia; tulevik; unt; luuletaja; viivi
10,10,10,9,10,10,10,10,10,12,kollane; intervjuu; romaan; mati; kass; iroonia; tulevik; unt; luuletaja; viivi
9,10,10,9,10,10,9,10,10,12,kollane; intervjuu; romaan; mati; kass; iroonia; tulevik; unt; luuletaja; viivi
9,10,10,9,9,9,9,10,9,12,kollane; intervjuu; romaan; mati; kass; iroonia; tulevik; unt; luuletaja; viivi
