EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,8,8,0,5,6,6,3,12,muusika; sildvee; elektrooniline; reimo; narkootikum; massikultuur; kommertslik; sotsioloog; popkultuur
7,8,7,8,0,5,5,6,3,12,muusika; reimo; elektrooniline; sildvee; narkootikum; massikultuur; kommertslik; sotsioloog; popkultuur
6,7,7,9,1,6,5,7,3,12,muusika; reimo; elektrooniline; sildvee; narkootikum; massikultuur; kommertslik; sotsioloog; popkultuur
6,8,6,9,1,6,7,7,3,12,muusika; reimo; elektrooniline; sildvee; narkootikum; massikultuur; kommertslik; sotsioloog; popkultuur
6,8,5,9,2,5,7,7,3,12,muusika; reimo; elektrooniline; sildvee; narkootikum; massikultuur; kommertslik; sotsioloog; popkultuur
7,7,7,9,2,6,6,7,3,12,muusika; reimo; elektrooniline; sildvee; narkootikum; massikultuur; kommertslik; sotsioloog; popkultuur
5,5,8,4,3,4,8,7,4,12,muusika; reimo; elektrooniline; sildvee; narkootikum; massikultuur; kommertslik; sotsioloog; popkultuur
4,5,7,8,5,5,8,6,2,12,muusika; sildvee; elektrooniline; reimo; narkootikum; massikultuur; kommertslik; sotsioloog; popkultuur
6,7,5,8,5,6,6,7,3,12,muusika; reimo; sildvee; elektrooniline; narkootikum; massikultuur; kommertslik; sotsioloog; popkultuur
6,5,7,6,6,7,7,6,4,12,muusika; reimo; sildvee; elektrooniline; narkootikum; massikultuur; kommertslik; sotsioloog; popkultuur
6,5,4,8,6,6,9,5,5,12,muusika; sildvee; reimo; elektrooniline; narkootikum; massikultuur; kommertslik; sotsioloog; popkultuur
