EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,7,6,5,7,6,7,7,10,muusikaline; hollandlanna; laul; pala; california; tekst; keel; elizabeth
8,8,7,6,5,7,6,7,7,10,muusikaline; hollandlanna; laul; pala; california; tekst; keel; elizabeth
8,8,7,7,5,7,6,7,7,10,muusikaline; hollandlanna; laul; pala; california; tekst; keel; elizabeth
8,8,7,7,5,7,6,7,7,10,muusikaline; hollandlanna; laul; pala; california; tekst; keel; elizabeth
8,8,8,7,6,8,8,8,7,10,muusikaline; hollandlanna; laul; pala; california; tekst; keel; elizabeth
8,8,8,8,6,8,8,8,7,10,muusikaline; hollandlanna; laul; pala; california; tekst; keel; elizabeth
8,8,8,8,6,8,7,8,7,10,muusikaline; hollandlanna; pala; laul; california; tekst; keel; elizabeth
8,8,8,7,6,8,7,8,7,10,muusikaline; hollandlanna; pala; laul; california; tekst; keel; elizabeth
8,8,8,7,7,8,8,8,7,10,muusikaline; hollandlanna; laul; pala; california; tekst; keel; elizabeth
7,8,8,7,7,8,8,8,7,10,muusikaline; hollandlanna; pala; laul; california; tekst; keel; elizabeth
7,8,8,7,7,8,8,8,7,10,muusikaline; hollandlanna; laul; pala; california; tekst; keel; elizabeth
