EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,9,9,9,9,9,9,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
9,9,9,9,9,9,9,9,9,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
9,9,9,9,9,9,9,9,9,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
9,9,9,9,9,9,9,9,9,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
9,9,9,9,9,9,9,9,9,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
9,9,9,9,9,9,9,9,9,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
9,9,9,9,9,9,9,9,9,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
9,9,9,9,9,9,9,9,9,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
9,9,9,9,9,9,9,9,9,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
9,9,9,9,9,9,9,9,9,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
9,9,9,9,9,9,9,9,9,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
