EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,9,6,9,5,11,9,12,4,16,arnold; korv; valimine; kohtuots; partei; rahvaliit; poliitika; kuslap; strandberg; sulev; neeme; rüütel; roheline; voldemar; sotsiaaldemokraat
12,9,8,9,5,11,11,11,4,16,arnold; korv; valimine; kohtuots; partei; rahvaliit; poliitika; kuslap; strandberg; sulev; neeme; rüütel; roheline; voldemar; sotsiaaldemokraat
12,10,10,10,5,11,10,10,4,16,arnold; korv; valimine; kohtuots; partei; rahvaliit; poliitika; kuslap; strandberg; sulev; neeme; rüütel; roheline; voldemar; sotsiaaldemokraat
12,11,10,10,6,11,9,12,4,16,arnold; korv; valimine; kohtuots; partei; rahvaliit; poliitika; kuslap; strandberg; sulev; neeme; rüütel; roheline; voldemar; sotsiaaldemokraat
11,12,11,10,7,12,8,13,4,16,arnold; korv; valimine; kohtuots; partei; rahvaliit; poliitika; kuslap; strandberg; sulev; neeme; rüütel; roheline; voldemar; sotsiaaldemokraat
11,12,11,11,8,14,10,13,4,16,arnold; korv; valimine; kohtuots; partei; rahvaliit; poliitika; kuslap; strandberg; sulev; neeme; rüütel; roheline; voldemar; sotsiaaldemokraat
10,10,11,9,7,13,10,12,4,16,arnold; kohtuots; valimine; korv; partei; rahvaliit; poliitika; kuslap; strandberg; sulev; neeme; rüütel; roheline; voldemar; sotsiaaldemokraat
10,12,10,12,10,10,11,12,8,16,arnold; kohtuots; valimine; korv; partei; rahvaliit; poliitika; kuslap; strandberg; sulev; neeme; rüütel; roheline; voldemar; sotsiaaldemokraat
12,11,10,10,11,11,9,12,8,16,arnold; kohtuots; valimine; korv; partei; rahvaliit; poliitika; kuslap; strandberg; sulev; neeme; rüütel; roheline; voldemar; sotsiaaldemokraat
12,11,12,9,12,7,9,10,9,16,arnold; kohtuots; valimine; korv; partei; rahvaliit; poliitika; kuslap; strandberg; sulev; neeme; rüütel; roheline; voldemar; sotsiaaldemokraat
12,11,11,7,12,10,10,10,10,16,arnold; kohtuots; valimine; korv; partei; rahvaliit; poliitika; kuslap; strandberg; sulev; neeme; rüütel; roheline; voldemar; sotsiaaldemokraat
