EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,7,7,8,7,5,7,7,14,noortekeel; fikseerimine; koolikeel; keelekorraldus; krista; rakenduslingvistika; tõlgendus; kerge; hajumine; ilukirjandus; rikas; inglise; keel
10,11,8,7,8,7,6,9,7,14,noortekeel; fikseerimine; koolikeel; keelekorraldus; krista; rakenduslingvistika; tõlgendus; kerge; hajumine; ilukirjandus; rikas; inglise; keel
10,11,8,7,8,7,6,9,6,14,noortekeel; fikseerimine; koolikeel; keelekorraldus; krista; rakenduslingvistika; tõlgendus; kerge; hajumine; ilukirjandus; rikas; inglise; keel
10,11,8,7,8,7,6,9,6,14,noortekeel; fikseerimine; koolikeel; keelekorraldus; krista; rakenduslingvistika; tõlgendus; kerge; hajumine; ilukirjandus; rikas; inglise; keel
11,11,8,7,8,8,6,10,6,14,noortekeel; fikseerimine; koolikeel; keelekorraldus; krista; rakenduslingvistika; tõlgendus; kerge; hajumine; ilukirjandus; rikas; inglise; keel
7,13,9,8,8,10,8,10,6,14,noortekeel; fikseerimine; koolikeel; keelekorraldus; krista; rakenduslingvistika; tõlgendus; kerge; hajumine; ilukirjandus; rikas; inglise; keel
9,12,8,7,7,10,10,10,7,14,noortekeel; fikseerimine; koolikeel; keelekorraldus; krista; rakenduslingvistika; tõlgendus; kerge; hajumine; ilukirjandus; rikas; inglise; keel
7,8,9,8,6,8,10,9,7,14,noortekeel; fikseerimine; koolikeel; keelekorraldus; krista; rakenduslingvistika; tõlgendus; kerge; hajumine; ilukirjandus; rikas; inglise; keel
8,11,9,8,4,7,6,10,7,14,noortekeel; fikseerimine; koolikeel; keelekorraldus; krista; rakenduslingvistika; tõlgendus; kerge; hajumine; ilukirjandus; rikas; inglise; keel
8,8,6,8,5,6,9,10,7,14,noortekeel; fikseerimine; koolikeel; keelekorraldus; krista; rakenduslingvistika; tõlgendus; kerge; hajumine; ilukirjandus; rikas; inglise; keel
7,7,6,8,7,7,8,10,7,14,noortekeel; fikseerimine; koolikeel; keelekorraldus; krista; rakenduslingvistika; tõlgendus; kerge; hajumine; ilukirjandus; rikas; inglise; keel
