EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,7,6,5,6,5,7,6,12,loodusjõud; nukuteater; tantsija; muusikakultuur; budism; pidustus; panteon; birma; teatrietendus; rändnäitleja; trumm
6,8,7,6,5,6,5,7,6,12,loodusjõud; nukuteater; tantsija; muusikakultuur; budism; pidustus; panteon; birma; teatrietendus; rändnäitleja; trumm
6,8,6,7,5,6,5,7,6,12,loodusjõud; nukuteater; tantsija; muusikakultuur; budism; pidustus; panteon; birma; teatrietendus; rändnäitleja; trumm
6,9,6,8,5,6,5,8,6,12,loodusjõud; nukuteater; budism; rändnäitleja; tantsija; muusikakultuur; pidustus; panteon; birma; teatrietendus; trumm
6,9,7,8,5,6,5,7,6,12,loodusjõud; nukuteater; budism; rändnäitleja; tantsija; muusikakultuur; pidustus; panteon; birma; teatrietendus; trumm
6,8,8,7,5,6,6,6,6,12,loodusjõud; nukuteater; tantsija; muusikakultuur; budism; pidustus; panteon; birma; teatrietendus; rändnäitleja; trumm
3,10,8,7,5,6,7,6,6,12,loodusjõud; nukuteater; tantsija; muusikakultuur; budism; pidustus; panteon; birma; teatrietendus; rändnäitleja; trumm
5,11,7,7,5,7,5,6,6,12,loodusjõud; nukuteater; budism; rändnäitleja; tantsija; muusikakultuur; pidustus; panteon; birma; teatrietendus; trumm
5,9,8,8,5,5,6,9,6,12,loodusjõud; nukuteater; budism; rändnäitleja; tantsija; muusikakultuur; pidustus; panteon; birma; teatrietendus; trumm
4,11,6,8,6,5,6,7,6,12,loodusjõud; nukuteater; budism; rändnäitleja; tantsija; muusikakultuur; pidustus; panteon; birma; teatrietendus; trumm
5,10,8,7,5,4,6,7,5,12,loodusjõud; nukuteater; tantsija; muusikakultuur; budism; pidustus; panteon; birma; teatrietendus; rändnäitleja; trumm
