EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,10,10,10,10,10,10,10,10,ameerika; jutlus; laulma; jumal; altar; õnnistus; rahvakoosolek; kanada; kuulaja; tempel
10,10,10,10,10,10,10,10,10,10,ameerika; jutlus; laulma; jumal; altar; õnnistus; rahvakoosolek; kanada; kuulaja; tempel
10,10,10,10,10,10,10,10,10,10,ameerika; jutlus; laulma; jumal; altar; õnnistus; rahvakoosolek; kanada; kuulaja; tempel
10,10,10,10,10,10,10,10,10,10,ameerika; jutlus; laulma; jumal; altar; õnnistus; rahvakoosolek; kanada; kuulaja; tempel
10,10,10,10,10,10,10,10,10,10,ameerika; jutlus; laulma; jumal; altar; õnnistus; rahvakoosolek; kanada; kuulaja; tempel
10,10,10,10,10,10,10,10,10,10,ameerika; jutlus; laulma; jumal; altar; õnnistus; rahvakoosolek; kanada; kuulaja; tempel
10,10,10,10,10,10,10,10,10,10,ameerika; jutlus; laulma; jumal; altar; õnnistus; rahvakoosolek; kanada; kuulaja; tempel
10,10,10,10,10,10,10,10,10,10,ameerika; jutlus; laulma; jumal; altar; õnnistus; rahvakoosolek; kanada; kuulaja; tempel
10,10,10,10,10,10,10,10,10,10,ameerika; jutlus; laulma; jumal; altar; õnnistus; rahvakoosolek; kanada; kuulaja; tempel
10,10,10,10,10,10,10,10,10,10,ameerika; jutlus; laulma; jumal; altar; õnnistus; rahvakoosolek; kanada; kuulaja; tempel
10,10,10,10,10,10,10,10,10,10,ameerika; jutlus; laulma; jumal; altar; õnnistus; rahvakoosolek; kanada; kuulaja; tempel
