EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,8,8,8,8,8,8,8,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
8,8,8,8,8,8,8,8,8,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
8,8,8,8,8,8,8,8,8,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
8,8,8,8,8,8,8,8,8,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
8,8,8,8,8,8,8,8,8,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
8,8,8,8,8,8,8,8,8,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
8,8,8,8,8,8,8,8,8,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
8,8,8,8,8,8,8,8,8,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
8,8,8,8,8,8,8,8,8,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
8,8,8,8,8,8,8,8,8,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
8,8,8,8,8,8,8,8,8,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
