EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,7,7,6,8,9,7,7,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
9,9,8,7,6,8,9,7,7,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
9,9,8,7,6,8,9,8,7,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
9,8,8,8,6,8,9,8,7,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
9,9,8,8,6,6,8,8,7,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
9,8,8,8,6,7,8,8,7,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
6,6,9,6,9,7,7,8,7,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
6,7,8,6,9,7,8,8,7,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
6,7,8,8,9,7,8,8,6,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
6,8,9,8,9,8,7,9,7,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
6,8,8,8,8,7,8,8,6,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
