EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,4,7,5,6,6,6,6,17,norra; susi; psühholoog; margit; pekk; mart; saun; ruth-kaja; concordia; pirgu; mõis
6,6,4,7,5,6,6,6,6,17,norra; susi; psühholoog; margit; pekk; mart; saun; ruth-kaja; concordia; pirgu; mõis
6,6,3,7,5,7,5,7,6,17,norra; susi; psühholoog; margit; pekk; mart; saun; ruth-kaja; concordia; pirgu; mõis
6,5,3,7,5,7,5,7,6,17,norra; susi; psühholoog; margit; pekk; mart; saun; ruth-kaja; concordia; pirgu; mõis
6,5,6,7,5,8,6,7,6,17,norra; susi; psühholoog; margit; pekk; mart; pirgu; saun; ruth-kaja; concordia; mõis
8,5,6,8,5,9,5,8,6,17,psühholoog; pekk; mart; pirgu; norra; susi; margit; saun; ruth-kaja; concordia; mõis
8,6,10,10,5,8,6,10,6,17,psühholoog; pekk; mart; pirgu; norra; susi; margit; saun; ruth-kaja; concordia; mõis
8,6,9,8,8,9,8,10,6,17,psühholoog; pekk; mart; pirgu; norra; susi; margit; saun; ruth-kaja; concordia; mõis
6,4,11,10,9,9,7,9,6,17,psühholoog; pekk; mart; pirgu; norra; susi; margit; saun; ruth-kaja; concordia; mõis
5,6,10,9,10,9,7,8,6,17,psühholoog; pekk; mart; pirgu; norra; susi; margit; saun; ruth-kaja; concordia; mõis
7,5,10,9,8,8,6,8,7,17,psühholoog; pekk; mart; pirgu; norra; susi; margit; saun; ruth-kaja; concordia; mõis
