EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,5,6,6,6,5,5,6,11,raamat; sündmus; jakobson; kreutzwald; eesti; inimene
6,6,5,6,6,6,5,5,6,11,raamat; sündmus; jakobson; kreutzwald; eesti; inimene
6,6,5,6,6,6,5,5,6,11,raamat; sündmus; jakobson; kreutzwald; eesti; inimene
6,6,5,6,6,6,5,5,6,11,raamat; sündmus; jakobson; kreutzwald; eesti; inimene
6,6,6,6,6,6,5,5,6,11,raamat; sündmus; jakobson; kreutzwald; eesti; inimene
6,6,6,6,6,6,5,6,6,11,raamat; sündmus; jakobson; kreutzwald; eesti; inimene
6,6,6,6,6,6,6,6,6,11,raamat; sündmus; jakobson; kreutzwald; eesti; inimene
6,6,6,6,6,6,6,6,6,11,raamat; kreutzwald; sündmus; jakobson; eesti; inimene
5,6,6,6,6,6,6,6,6,11,raamat; kreutzwald; sündmus; jakobson; eesti; inimene
5,6,6,6,6,6,6,6,6,11,raamat; kreutzwald; sündmus; jakobson; eesti; inimene
5,6,6,6,6,6,6,6,6,11,raamat; kreutzwald; sündmus; jakobson; eesti; inimene
