EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,7,8,7,8,8,8,8,13,kadri-ann; karl; sagrits; heino; silver; hobune; väli; admiral
7,8,7,8,7,8,8,8,8,13,kadri-ann; karl; sagrits; heino; silver; hobune; väli; admiral
7,8,8,8,7,8,8,8,8,13,kadri-ann; karl; sagrits; heino; silver; hobune; väli; admiral
7,8,7,8,8,8,8,8,8,13,kadri-ann; karl; sagrits; heino; silver; hobune; väli; admiral
8,8,8,8,8,8,8,8,8,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
8,8,8,8,8,8,8,8,8,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
8,8,8,8,8,8,8,8,8,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
8,8,8,8,8,8,8,8,8,13,kadri-ann; karl; sagrits; heino; silver; hobune; väli; admiral
8,8,8,8,8,8,8,8,8,13,kadri-ann; karl; sagrits; heino; silver; hobune; väli; admiral
8,8,8,8,8,8,8,8,8,13,kadri-ann; karl; sagrits; heino; silver; hobune; väli; admiral
8,8,8,8,8,8,8,8,8,13,kadri-ann; karl; sagrits; heino; silver; hobune; väli; admiral
