EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,11,11,9,11,11,11,9,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
10,11,11,11,9,11,11,11,9,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
10,11,11,11,9,11,11,11,9,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
10,11,11,11,10,11,11,11,9,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
11,11,11,11,10,11,11,11,9,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
11,11,11,11,9,11,11,11,9,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
11,11,11,11,9,11,11,11,9,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
11,11,11,11,10,11,11,11,10,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
10,11,11,11,11,11,11,11,11,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; börs; facebook; kristjan
11,11,11,11,11,11,11,11,11,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
11,11,11,11,11,11,11,11,11,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; börs; facebook; kristjan
