EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,6,8,6,8,6,6,7,12,villem; kristus; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
7,9,6,8,6,8,7,8,7,12,villem; kristus; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
7,9,7,8,6,9,7,8,8,12,villem; kristus; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
7,9,8,8,6,9,8,8,9,12,villem; kristus; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
9,10,8,7,6,10,10,8,9,12,villem; kristus; telling; kubi; ilus; proua; eduard; hobune; mõisavalitseja; karjapoiss; mõisnik
8,10,9,9,6,10,9,10,9,12,villem; kristus; telling; kubi; ilus; proua; eduard; hobune; mõisavalitseja; karjapoiss; mõisnik
8,9,9,9,7,10,8,9,9,12,villem; kristus; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
8,10,9,11,6,9,9,10,10,12,villem; telling; kristus; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
7,10,7,11,8,7,9,11,10,12,villem; kristus; telling; kubi; ilus; proua; eduard; hobune; mõisavalitseja; karjapoiss; mõisnik
7,10,9,11,7,5,7,9,10,12,villem; kristus; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
7,9,10,11,11,8,7,9,9,12,kristus; villem; telling; kubi; ilus; proua; eduard; hobune; mõisavalitseja; karjapoiss; mõisnik
