EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,7,9,7,8,8,8,8,14,gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; kammerorkester; arvo
9,9,7,9,8,8,8,8,8,14,gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; kammerorkester; arvo
9,9,7,9,8,8,8,8,8,14,gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; kammerorkester; arvo
11,9,7,9,8,8,8,8,8,14,gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; kammerorkester; arvo
11,9,7,10,9,8,8,7,8,14,gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; kammerorkester; arvo
11,9,8,10,9,9,10,7,8,14,gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; kammerorkester; arvo
8,10,9,9,9,11,11,9,7,14,gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; kammerorkester; arvo
7,10,11,11,11,8,10,11,7,14,gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; kammerorkester; arvo
7,9,11,11,9,9,10,11,7,14,gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; kammerorkester; arvo
6,9,10,10,9,10,11,10,8,14,gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; kammerorkester; arvo
6,8,11,10,7,10,11,10,8,14,gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; kammerorkester; arvo
