EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,5,8,3,3,4,3,6,19,festival; rannik; piraat; hõff; tamme; abhaasia; gruusia; sammas; mall; somaalia; mälberg
9,9,5,9,3,3,4,4,6,19,piraat; hõff; sammas; festival; rannik; tamme; abhaasia; gruusia; mall; somaalia; mälberg
8,8,5,9,3,3,4,4,6,19,festival; rannik; piraat; hõff; tamme; abhaasia; sammas; mall; gruusia; somaalia; mälberg
9,8,5,9,3,3,6,5,6,19,festival; rannik; piraat; hõff; tamme; abhaasia; sammas; mall; gruusia; somaalia; mälberg
9,9,6,9,3,5,7,9,6,19,piraat; hõff; sammas; festival; rannik; tamme; abhaasia; gruusia; mall; somaalia; mälberg
8,7,6,9,4,7,10,7,6,19,piraat; hõff; sammas; festival; rannik; tamme; abhaasia; mall; gruusia; somaalia; mälberg
9,8,9,9,4,8,7,10,6,19,piraat; hõff; sammas; festival; rannik; abhaasia; tamme; gruusia; mall; somaalia; mälberg
9,9,8,7,3,9,10,10,6,19,piraat; hõff; sammas; festival; rannik; tamme; abhaasia; mall; gruusia; somaalia; mälberg
6,10,10,7,4,10,5,9,6,19,piraat; hõff; sammas; festival; rannik; abhaasia; tamme; gruusia; mall; somaalia; mälberg
9,9,10,8,7,10,7,11,8,19,piraat; hõff; sammas; festival; rannik; tamme; abhaasia; mall; gruusia; somaalia; mälberg
6,9,9,7,8,9,8,10,9,19,piraat; hõff; sammas; festival; rannik; tamme; abhaasia; mall; gruusia; somaalia; mälberg
