EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,7,6,8,4,7,6,7,5,14,tsivilisatsioon; kaja; kapitalism; iseseisvuspäev; tammsaare; teater; kontsert; klassika; stoppard; nüganen; elmo; kärner; utoopia; revolutsionäär
10,7,7,8,5,7,6,7,5,14,tsivilisatsioon; kaja; kapitalism; iseseisvuspäev; tammsaare; teater; kontsert; klassika; stoppard; nüganen; elmo; kärner; utoopia; revolutsionäär
10,6,7,8,5,7,6,7,5,14,tsivilisatsioon; kaja; kapitalism; iseseisvuspäev; tammsaare; teater; klassika; kontsert; stoppard; nüganen; elmo; kärner; utoopia; revolutsionäär
10,7,7,7,4,7,6,7,5,14,tsivilisatsioon; kaja; kapitalism; iseseisvuspäev; tammsaare; teater; kontsert; klassika; stoppard; nüganen; elmo; kärner; utoopia; revolutsionäär
13,8,9,6,5,9,8,10,5,14,tsivilisatsioon; kaja; kapitalism; iseseisvuspäev; tammsaare; teater; kontsert; klassika; stoppard; nüganen; elmo; kärner; utoopia; revolutsionäär
9,8,13,8,5,9,7,11,5,14,tsivilisatsioon; kaja; kapitalism; iseseisvuspäev; tammsaare; teater; kontsert; klassika; stoppard; elmo; nüganen; kärner; utoopia; revolutsionäär
6,10,13,10,7,10,9,11,5,14,tsivilisatsioon; kaja; kapitalism; iseseisvuspäev; tammsaare; teater; kontsert; klassika; stoppard; nüganen; elmo; revolutsionäär; utoopia; kärner
6,9,13,11,5,11,11,12,6,14,tsivilisatsioon; kaja; kapitalism; iseseisvuspäev; tammsaare; teater; kontsert; klassika; stoppard; nüganen; elmo; revolutsionäär; utoopia; kärner
9,8,14,9,9,10,9,11,8,14,tsivilisatsioon; kaja; kapitalism; iseseisvuspäev; tammsaare; teater; klassika; kontsert; stoppard; nüganen; elmo; revolutsionäär; utoopia; kärner
7,8,13,9,6,7,7,11,7,14,tsivilisatsioon; kaja; kapitalism; iseseisvuspäev; tammsaare; teater; kontsert; klassika; stoppard; elmo; nüganen; revolutsionäär; utoopia; kärner
8,9,14,9,8,9,8,12,8,14,tsivilisatsioon; kaja; kapitalism; iseseisvuspäev; tammsaare; teater; kontsert; klassika; stoppard; elmo; nüganen; revolutsionäär; utoopia; kärner
