EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,10,10,10,10,10,10,10,11,reino; nutune; kruusvall; raudtee; etendus; sugulane; jaan; vastik; lahkumisavaldus; unimüts
10,10,10,10,10,10,10,10,10,11,reino; nutune; kruusvall; raudtee; etendus; sugulane; jaan; vastik; lahkumisavaldus; unimüts
10,10,10,10,10,10,10,10,10,11,reino; nutune; kruusvall; raudtee; etendus; sugulane; jaan; vastik; lahkumisavaldus; unimüts
10,10,10,10,10,10,10,10,10,11,reino; nutune; kruusvall; raudtee; etendus; sugulane; jaan; vastik; lahkumisavaldus; unimüts
10,10,10,10,10,10,10,10,10,11,reino; nutune; kruusvall; raudtee; etendus; sugulane; jaan; vastik; lahkumisavaldus; unimüts
10,10,10,10,10,10,10,10,10,11,reino; nutune; kruusvall; raudtee; etendus; sugulane; jaan; vastik; lahkumisavaldus; unimüts
10,10,10,10,10,10,10,10,10,11,reino; nutune; kruusvall; raudtee; etendus; sugulane; jaan; vastik; lahkumisavaldus; unimüts
10,10,10,10,10,10,10,10,10,11,reino; nutune; kruusvall; raudtee; etendus; sugulane; jaan; vastik; lahkumisavaldus; unimüts
10,10,10,10,10,10,10,10,10,11,reino; nutune; kruusvall; raudtee; etendus; sugulane; jaan; vastik; lahkumisavaldus; unimüts
10,10,10,10,10,10,10,10,10,11,reino; nutune; kruusvall; raudtee; etendus; sugulane; jaan; vastik; lahkumisavaldus; unimüts
10,10,10,10,10,10,10,10,10,11,reino; nutune; kruusvall; raudtee; etendus; sugulane; jaan; vastik; lahkumisavaldus; unimüts
