EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,7,7,8,8,7,8,8,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
7,7,7,8,8,8,8,8,8,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
8,7,8,8,8,8,8,8,8,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
8,7,8,8,7,8,8,8,8,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
8,7,8,8,7,7,7,8,8,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
8,7,8,7,7,8,8,8,8,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
7,7,7,8,7,7,8,8,8,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
7,7,8,8,7,8,8,8,8,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
7,8,8,7,7,8,8,8,8,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
7,8,8,8,8,8,8,8,8,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
8,8,8,8,8,8,8,8,8,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
