EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,5,9,10,10,6,7,7,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
9,10,5,9,10,9,6,7,7,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
10,9,5,9,10,9,6,7,7,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
10,9,6,9,10,9,6,8,7,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
10,9,8,10,10,9,7,8,7,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
10,10,9,10,10,9,6,10,7,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
10,10,9,10,10,10,9,10,7,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
9,10,10,10,10,10,9,10,10,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
10,10,10,10,10,10,10,10,10,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
10,9,10,8,10,10,9,9,10,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
9,9,10,8,10,10,10,9,10,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
