EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,5,4,5,7,6,4,6,5,15,putin; kultuuripealinn; keemiarelvarünnak; bashar; toomas; sildam; jevgeni; vladimir; liikumine; töövisiit; tõnu
9,4,5,5,7,6,4,7,5,15,putin; kultuuripealinn; keemiarelvarünnak; bashar; toomas; sildam; jevgeni; vladimir; liikumine; töövisiit; tõnu
9,4,5,7,7,6,4,7,5,15,putin; kultuuripealinn; keemiarelvarünnak; bashar; toomas; sildam; jevgeni; vladimir; liikumine; töövisiit; tõnu
9,4,8,6,7,7,5,9,6,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
8,4,8,6,7,8,7,9,6,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
8,6,10,8,8,8,7,8,7,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
7,8,9,9,8,11,7,10,7,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
6,9,10,9,8,9,6,10,9,15,bashar; sildam; liikumine; töövisiit; tõnu; keemiarelvarünnak; kultuuripealinn; putin; toomas; jevgeni; vladimir
7,9,9,9,10,9,10,9,9,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
7,10,10,8,8,10,7,10,8,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
7,10,10,8,9,10,9,11,7,15,bashar; sildam; liikumine; töövisiit; tõnu; keemiarelvarünnak; kultuuripealinn; putin; toomas; jevgeni; vladimir
