EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,3,6,5,0,7,7,6,9,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; josing; eesti; silvio
8,4,6,5,0,8,7,6,9,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; josing; eesti; silvio
8,5,6,5,2,8,7,6,9,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; josing; eesti; silvio
8,5,5,5,4,10,7,7,9,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; josing; eesti; silvio
8,5,6,5,4,9,6,7,9,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; josing; eesti; silvio
8,4,6,8,6,7,5,7,9,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; josing; eesti; silvio
9,6,7,8,6,8,7,7,9,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; josing; eesti; silvio
7,6,10,8,6,7,4,5,9,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; eesti; josing; silvio
4,5,10,10,9,7,4,9,9,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; eesti; josing; silvio
4,4,9,9,9,8,5,10,9,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; eesti; josing; silvio
4,6,6,7,9,7,6,10,9,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; eesti; josing; silvio
