EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,13,6,5,5,10,9,13,12,17,mäger; antoloogia; alver; mart; paul-eerik; suits; bett; karl; luuletaja; eesti; muru; sööt; gustav; rummo
12,13,7,5,5,10,9,13,12,17,mäger; antoloogia; alver; mart; paul-eerik; suits; bett; karl; luuletaja; eesti; muru; sööt; gustav; rummo
12,13,6,5,5,10,9,13,12,17,mäger; antoloogia; alver; mart; paul-eerik; suits; bett; karl; luuletaja; eesti; muru; sööt; gustav; rummo
12,13,8,5,6,10,9,13,12,17,mäger; antoloogia; alver; mart; paul-eerik; suits; bett; karl; luuletaja; eesti; muru; sööt; gustav; rummo
12,12,11,9,6,8,9,13,12,17,mäger; antoloogia; alver; mart; paul-eerik; suits; bett; karl; luuletaja; eesti; muru; sööt; gustav; rummo
8,11,12,10,8,9,10,13,12,17,mäger; antoloogia; alver; mart; paul-eerik; suits; bett; karl; luuletaja; eesti; muru; sööt; gustav; rummo
9,6,12,13,9,11,9,13,12,17,mäger; antoloogia; alver; mart; paul-eerik; suits; bett; karl; luuletaja; eesti; muru; sööt; gustav; rummo
11,7,13,12,10,11,8,14,11,17,mäger; antoloogia; alver; mart; paul-eerik; suits; bett; karl; luuletaja; eesti; muru; sööt; gustav; rummo
9,8,12,13,10,9,8,14,11,17,mäger; antoloogia; alver; mart; paul-eerik; suits; bett; karl; luuletaja; eesti; muru; sööt; gustav; rummo
9,10,13,13,13,9,8,10,12,17,mäger; antoloogia; alver; mart; paul-eerik; suits; bett; karl; luuletaja; eesti; muru; sööt; gustav; rummo
9,9,12,12,12,9,10,11,10,17,mäger; antoloogia; alver; mart; paul-eerik; suits; bett; karl; luuletaja; eesti; muru; sööt; gustav; rummo
