EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,10,6,6,8,4,4,6,9,16,bob; dylan; kolmas; henry; koloonia; esimene; robert; loss; elizabeth; sõda; edward
7,9,7,6,8,5,4,6,9,16,bob; dylan; kolmas; henry; koloonia; esimene; robert; loss; elizabeth; sõda; edward
7,9,8,6,8,5,4,6,9,16,bob; dylan; kolmas; henry; koloonia; esimene; robert; loss; elizabeth; sõda; edward
7,9,8,6,8,5,4,6,9,16,bob; dylan; kolmas; henry; koloonia; esimene; robert; loss; elizabeth; sõda; edward
8,9,8,6,8,5,4,7,7,16,bob; kolmas; dylan; henry; koloonia; esimene; robert; loss; elizabeth; sõda; edward
10,9,9,8,8,8,6,9,7,16,bob; kolmas; dylan; henry; esimene; koloonia; robert; loss; elizabeth; sõda; edward
7,7,9,8,8,9,5,10,8,16,bob; kolmas; dylan; henry; esimene; koloonia; robert; loss; elizabeth; sõda; edward
7,7,9,9,7,9,7,9,6,16,bob; kolmas; dylan; henry; esimene; koloonia; robert; loss; elizabeth; sõda; edward
8,7,7,8,8,9,5,9,9,16,bob; kolmas; dylan; henry; esimene; koloonia; robert; loss; elizabeth; sõda; edward
6,8,7,8,8,8,8,10,6,16,bob; kolmas; dylan; henry; esimene; koloonia; robert; loss; elizabeth; sõda; edward
5,9,5,7,8,8,9,10,6,16,bob; kolmas; dylan; henry; esimene; koloonia; robert; loss; elizabeth; sõda; edward
