EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,3,7,6,3,5,4,4,11,kristi; keemia; pidu; ilves; koolitus; naturaalne; kohv
7,6,5,7,6,4,5,3,4,11,kristi; keemia; pidu; ilves; koolitus; naturaalne; kohv
7,6,5,7,6,5,5,5,4,11,kristi; keemia; pidu; ilves; koolitus; naturaalne; kohv
7,6,7,7,6,6,5,5,4,11,kristi; keemia; pidu; ilves; koolitus; naturaalne; kohv
7,6,7,7,6,6,5,5,5,11,kristi; keemia; koolitus; ilves; pidu; naturaalne; kohv
7,6,7,7,6,7,7,6,5,11,kristi; keemia; koolitus; ilves; pidu; naturaalne; kohv
7,6,7,7,6,7,7,7,5,11,kristi; keemia; koolitus; ilves; pidu; naturaalne; kohv
7,6,7,7,7,7,7,7,7,11,kristi; keemia; pidu; koolitus; ilves; naturaalne; kohv
7,6,7,7,7,7,7,7,7,11,kristi; keemia; pidu; ilves; koolitus; naturaalne; kohv
7,7,7,7,7,7,7,7,6,11,kristi; keemia; pidu; ilves; koolitus; naturaalne; kohv
7,7,7,7,7,7,7,7,6,11,kristi; keemia; pidu; ilves; koolitus; naturaalne; kohv
