EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,9,11,10,8,11,7,11,11,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
11,10,11,10,8,11,6,11,11,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
11,10,11,10,8,11,8,11,11,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
11,9,11,11,8,11,8,12,11,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
11,9,11,11,8,11,9,11,11,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
11,9,12,11,7,12,11,12,11,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
11,10,11,11,8,11,11,12,10,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
10,10,10,11,10,12,10,12,10,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
10,11,10,12,11,12,11,12,11,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
8,11,10,12,11,12,10,12,12,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
7,11,11,12,11,12,11,12,9,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
