EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,8,9,8,3,5,6,6,6,17,riina; jäätmed; õunpuu; keedus; sulev; sortimine; veiko; muuseum; probleem; üürnik; eentalu; gruusia; laidoner
11,8,8,8,3,5,6,6,6,17,riina; jäätmed; õunpuu; keedus; sulev; sortimine; veiko; muuseum; probleem; üürnik; eentalu; gruusia; laidoner
11,8,7,7,3,4,5,7,6,17,riina; jäätmed; õunpuu; keedus; sulev; sortimine; veiko; muuseum; probleem; üürnik; eentalu; gruusia; laidoner
11,8,8,7,2,4,5,8,6,17,riina; jäätmed; õunpuu; keedus; sulev; sortimine; veiko; muuseum; probleem; üürnik; eentalu; gruusia; laidoner
11,7,9,7,3,3,6,8,6,17,riina; jäätmed; õunpuu; keedus; sulev; sortimine; veiko; muuseum; probleem; üürnik; eentalu; gruusia; laidoner
10,7,10,6,3,7,10,10,6,17,riina; jäätmed; õunpuu; keedus; sulev; sortimine; veiko; muuseum; probleem; üürnik; eentalu; gruusia; laidoner
9,7,11,10,3,9,8,9,5,17,riina; jäätmed; õunpuu; keedus; sulev; sortimine; veiko; muuseum; probleem; üürnik; eentalu; gruusia; laidoner
9,8,10,7,3,10,10,12,5,17,riina; jäätmed; õunpuu; keedus; sulev; sortimine; veiko; muuseum; probleem; üürnik; gruusia; eentalu; laidoner
9,8,10,8,3,8,10,11,5,17,riina; jäätmed; õunpuu; keedus; sulev; sortimine; veiko; muuseum; probleem; üürnik; gruusia; eentalu; laidoner
9,9,12,8,5,7,7,11,7,17,riina; jäätmed; õunpuu; keedus; sulev; sortimine; veiko; muuseum; probleem; üürnik; eentalu; gruusia; laidoner
9,10,10,9,5,11,10,6,7,17,riina; jäätmed; õunpuu; keedus; sulev; sortimine; veiko; muuseum; probleem; üürnik; eentalu; gruusia; laidoner
