EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,11,11,11,11,11,11,11,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
10,11,11,11,11,11,11,11,11,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
10,11,11,11,11,11,11,11,11,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
10,11,11,11,10,11,11,11,11,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
10,11,11,11,10,11,11,11,11,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
11,11,11,11,10,11,11,11,11,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
11,11,11,11,10,11,11,11,11,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
11,11,11,11,10,11,11,11,11,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
11,11,11,11,11,11,11,11,11,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
11,11,11,11,11,11,11,11,11,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
11,11,11,11,11,11,11,11,11,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
