EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,6,3,7,4,3,1,4,9,12,iraan; liibüa; afganistan; süda; nõukogu; näitus; teater; liit; moskva; mäng; suitsetamine
10,7,3,7,4,4,1,4,9,12,iraan; liibüa; afganistan; süda; nõukogu; näitus; teater; liit; moskva; mäng; suitsetamine
10,6,4,7,4,4,2,4,9,12,iraan; liibüa; afganistan; süda; nõukogu; näitus; teater; liit; moskva; mäng; suitsetamine
10,6,4,7,4,7,4,5,9,12,iraan; liibüa; afganistan; süda; nõukogu; näitus; teater; liit; moskva; mäng; suitsetamine
9,6,6,8,4,8,5,5,9,12,iraan; liibüa; afganistan; süda; nõukogu; näitus; liit; teater; moskva; mäng; suitsetamine
9,6,6,9,7,9,7,7,9,12,iraan; afganistan; liibüa; süda; nõukogu; näitus; teater; liit; moskva; mäng; suitsetamine
10,7,6,6,7,7,7,8,8,12,iraan; afganistan; liibüa; süda; nõukogu; näitus; liit; teater; moskva; mäng; suitsetamine
9,6,5,7,8,9,9,6,9,12,iraan; liibüa; afganistan; süda; nõukogu; näitus; teater; liit; moskva; mäng; suitsetamine
6,8,11,6,7,10,9,7,8,12,iraan; liibüa; afganistan; süda; nõukogu; näitus; teater; liit; moskva; mäng; suitsetamine
5,7,6,6,8,9,8,8,10,12,iraan; liibüa; afganistan; süda; nõukogu; näitus; teater; liit; moskva; mäng; suitsetamine
5,7,8,6,7,9,8,9,9,12,iraan; afganistan; liibüa; süda; nõukogu; näitus; teater; liit; moskva; mäng; suitsetamine
