EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,5,4,7,9,7,11,7,18,arvo; rebane; hendrik; kalev; ilves; parvlaev; staadion; pärt; toomas; mari; petser; ukraina
5,7,6,6,7,9,8,11,7,18,arvo; rebane; hendrik; kalev; ilves; parvlaev; staadion; pärt; toomas; mari; petser; ukraina
5,7,6,6,7,12,7,11,7,18,arvo; rebane; hendrik; kalev; ilves; parvlaev; staadion; pärt; toomas; mari; petser; ukraina
5,7,9,7,8,9,7,8,7,18,arvo; rebane; hendrik; kalev; ilves; parvlaev; staadion; pärt; toomas; mari; petser; ukraina
5,8,9,7,9,11,9,10,7,18,arvo; rebane; hendrik; kalev; ilves; parvlaev; staadion; pärt; toomas; mari; petser; ukraina
7,7,10,10,9,9,8,9,7,18,arvo; rebane; hendrik; kalev; ilves; parvlaev; staadion; pärt; toomas; mari; petser; ukraina
10,9,9,10,9,8,8,11,7,18,arvo; rebane; hendrik; kalev; ilves; parvlaev; staadion; pärt; toomas; mari; petser; ukraina
10,9,10,10,10,8,8,9,8,18,rebane; ukraina; hendrik; kalev; ilves; parvlaev; staadion; pärt; toomas; mari; petser; arvo
9,6,11,9,11,9,9,9,8,18,rebane; ukraina; hendrik; kalev; ilves; parvlaev; staadion; pärt; toomas; mari; petser; arvo
8,7,11,9,10,5,7,8,10,18,arvo; rebane; hendrik; kalev; ilves; parvlaev; staadion; pärt; toomas; mari; petser; ukraina
9,6,9,9,10,8,7,9,10,18,rebane; ukraina; hendrik; kalev; ilves; parvlaev; staadion; pärt; toomas; mari; petser; arvo
