EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,7,7,6,8,7,9,6,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
10,8,8,7,5,8,7,9,6,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
10,8,8,7,7,8,8,10,6,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
10,8,9,7,7,9,8,10,6,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
10,8,8,8,8,10,9,9,6,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
9,9,10,9,8,11,8,11,6,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
10,9,11,9,8,9,9,11,6,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
7,10,8,11,8,10,10,10,6,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
9,9,10,11,11,11,8,10,10,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
10,10,10,11,11,8,8,10,10,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
10,11,8,11,11,7,8,10,10,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
