EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,10,10,6,8,7,9,6,13,jüri; mesilane; piir; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
7,9,8,10,6,8,7,9,6,13,jüri; mesilane; piir; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
9,9,8,10,6,9,8,9,6,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
10,9,10,10,7,9,9,9,6,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
10,9,11,10,7,10,10,10,6,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
8,9,11,10,7,9,10,9,6,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
7,9,11,9,7,9,10,10,6,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
8,11,11,7,8,9,11,11,6,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
6,11,11,8,9,9,9,9,6,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
6,9,10,7,8,9,10,9,7,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
6,9,11,6,7,10,9,10,8,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
