EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,7,6,7,4,5,6,4,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
7,7,7,6,7,6,5,5,4,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
8,7,7,6,7,6,6,6,4,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
8,7,7,6,6,6,6,7,4,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
8,7,7,6,7,7,6,7,4,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
8,7,7,7,7,8,8,7,5,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
8,7,7,7,7,8,8,7,5,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
7,7,7,7,7,8,8,7,7,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
5,8,8,8,7,8,8,7,7,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
6,8,8,8,7,8,8,7,6,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
6,8,8,8,6,8,8,7,5,10,töö; võistlus; geim; sööma; tervis; mäng; pall; energia
