EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,9,10,9,10,9,9,8,14,lill; suursponsor; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
10,9,10,10,9,10,9,9,7,14,lill; suursponsor; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
10,9,10,10,10,10,9,10,7,14,lill; suursponsor; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
10,10,11,10,10,12,9,10,7,14,lill; suursponsor; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
10,10,7,10,10,11,10,11,7,14,lill; suursponsor; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
9,9,9,11,12,11,10,8,6,14,suursponsor; lill; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; disainer; kollektsioon; jahilo; tikand; talv; auhind
9,9,11,9,11,12,10,9,6,14,suursponsor; lill; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
8,11,10,12,13,12,10,11,7,14,suursponsor; lill; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
8,9,11,11,12,10,9,8,9,14,lill; suursponsor; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
7,10,13,11,10,12,9,11,10,14,lill; suursponsor; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
9,9,10,11,11,12,9,11,10,14,lill; suursponsor; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; disainer; kollektsioon; jahilo; tikand; talv; auhind
