EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,6,5,8,4,4,4,7,7,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
10,6,5,8,4,4,4,8,7,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
10,6,6,8,4,5,5,9,7,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
10,7,8,9,4,5,5,9,6,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
10,7,11,9,5,7,6,9,6,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
6,9,11,9,4,10,10,9,7,12,julgus; ülikool; hall; näitleja; mass; raha; ajakirjandus; kristi; eriline; aule; tasuline; lavakas
6,9,10,11,4,11,10,11,7,12,julgus; ülikool; hall; näitleja; mass; raha; ajakirjandus; kristi; eriline; aule; tasuline; lavakas
6,9,12,9,5,11,9,11,6,12,julgus; ülikool; hall; näitleja; mass; raha; ajakirjandus; kristi; eriline; aule; tasuline; lavakas
5,9,11,9,6,11,10,12,5,12,julgus; ülikool; hall; näitleja; mass; raha; ajakirjandus; kristi; eriline; aule; tasuline; lavakas
4,8,12,7,7,12,9,11,7,12,julgus; ülikool; hall; näitleja; mass; raha; ajakirjandus; kristi; eriline; aule; tasuline; lavakas
5,8,10,6,7,11,10,9,7,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
