EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,7,11,11,11,11,11,8,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
11,11,7,11,11,11,11,11,9,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
11,11,9,11,11,11,11,11,9,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
11,11,11,11,11,11,11,11,9,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
11,11,11,11,11,11,10,11,9,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
11,11,11,11,11,10,11,11,9,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
11,11,11,11,11,11,11,11,10,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
11,11,11,11,11,11,11,11,11,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
11,11,11,11,11,11,11,11,11,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
11,11,11,11,11,11,11,11,11,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
10,11,11,11,11,11,11,11,11,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
