EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,7,3,2,1,3,3,2,5,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
4,7,5,2,2,3,3,2,6,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
5,7,6,2,2,3,4,3,6,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
5,7,6,2,2,4,5,3,6,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
6,7,6,3,3,5,6,6,6,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
6,7,6,3,3,5,5,5,6,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
7,6,7,5,3,4,4,3,7,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
4,6,6,4,3,3,5,5,5,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
3,7,6,4,3,4,6,5,6,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
3,5,5,6,4,4,5,4,6,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
3,5,4,5,4,4,4,3,4,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
