EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,3,7,4,4,7,6,4,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
6,8,3,7,5,4,7,8,4,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
6,8,4,7,5,5,7,8,4,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
6,8,7,8,4,5,7,8,4,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
6,8,6,8,4,7,7,7,4,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
6,8,8,7,4,8,7,7,4,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
5,7,6,6,4,8,8,8,5,15,film; armukolmnurk; komandör; stalin; kangelane; kosmodemjanskaja; nõukogu; liit; naiskangelanna
7,8,9,6,4,7,7,6,5,15,film; armukolmnurk; komandör; stalin; nõukogu; kangelane; kosmodemjanskaja; liit; naiskangelanna
7,7,7,6,6,6,7,7,4,15,film; armukolmnurk; komandör; stalin; nõukogu; kangelane; kosmodemjanskaja; liit; naiskangelanna
6,6,7,6,7,7,5,7,5,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
6,6,7,6,7,7,5,7,5,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
