EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,7,10,6,7,8,9,9,15,institutsioon; sümboolne; võim; kunstnik; anders; kuraator; publik; reaalne; kriitik; härm; liit
9,7,7,10,6,7,8,9,9,15,institutsioon; sümboolne; võim; kunstnik; anders; kuraator; publik; reaalne; kriitik; härm; liit
9,9,7,10,6,7,8,9,9,15,institutsioon; sümboolne; võim; kunstnik; anders; kuraator; publik; reaalne; kriitik; härm; liit
9,9,6,10,6,7,7,9,9,15,institutsioon; sümboolne; võim; kunstnik; anders; kuraator; publik; reaalne; kriitik; härm; liit
10,11,9,9,6,7,7,10,9,15,institutsioon; sümboolne; võim; kunstnik; anders; kuraator; publik; reaalne; kriitik; härm; liit
8,11,9,10,6,6,9,11,9,15,institutsioon; sümboolne; võim; kunstnik; anders; kuraator; publik; reaalne; kriitik; härm; liit
10,10,10,10,8,9,10,11,9,15,institutsioon; sümboolne; võim; kunstnik; anders; kuraator; publik; reaalne; kriitik; härm; liit
7,10,9,10,8,10,9,9,9,15,institutsioon; sümboolne; võim; kunstnik; anders; kuraator; publik; reaalne; kriitik; härm; liit
7,10,9,10,10,8,10,10,7,15,institutsioon; sümboolne; võim; kunstnik; anders; kuraator; publik; reaalne; kriitik; härm; liit
7,9,10,7,11,8,11,10,10,15,institutsioon; sümboolne; võim; kunstnik; anders; kuraator; publik; reaalne; kriitik; härm; liit
9,9,10,7,11,8,9,10,10,15,institutsioon; sümboolne; võim; kunstnik; anders; kuraator; publik; reaalne; kriitik; härm; liit
