EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,8,8,8,9,10,8,9,10,15,tootmisliin; tallinn; viktor; alatskivi; resolutsioon; janukovitš; lossipäev; vare; üro; iisrael; liibanon; kai; viikingipäev
13,9,8,8,9,10,8,10,10,15,tootmisliin; tallinn; viktor; alatskivi; resolutsioon; janukovitš; lossipäev; vare; üro; iisrael; liibanon; kai; viikingipäev
13,9,8,8,8,10,7,10,10,15,tootmisliin; tallinn; viktor; alatskivi; resolutsioon; janukovitš; lossipäev; vare; üro; iisrael; liibanon; kai; viikingipäev
12,9,9,8,8,10,7,10,11,15,tootmisliin; tallinn; viktor; alatskivi; resolutsioon; janukovitš; lossipäev; vare; üro; iisrael; liibanon; kai; viikingipäev
11,9,8,9,9,12,7,10,10,15,tootmisliin; tallinn; viktor; alatskivi; resolutsioon; janukovitš; lossipäev; vare; üro; iisrael; liibanon; kai; viikingipäev
12,10,11,7,10,10,11,10,10,15,tootmisliin; tallinn; viktor; alatskivi; resolutsioon; janukovitš; lossipäev; üro; vare; iisrael; liibanon; kai; viikingipäev
12,10,10,10,9,9,11,11,11,15,tootmisliin; tallinn; viktor; alatskivi; resolutsioon; janukovitš; lossipäev; üro; vare; iisrael; liibanon; kai; viikingipäev
9,9,12,12,10,9,6,11,11,15,tootmisliin; tallinn; viktor; alatskivi; resolutsioon; janukovitš; lossipäev; vare; üro; iisrael; liibanon; kai; viikingipäev
9,9,13,11,10,9,7,12,10,15,tootmisliin; tallinn; viktor; alatskivi; resolutsioon; janukovitš; lossipäev; üro; vare; iisrael; liibanon; kai; viikingipäev
8,10,12,10,12,9,8,12,11,15,tootmisliin; tallinn; viktor; alatskivi; resolutsioon; janukovitš; lossipäev; vare; üro; iisrael; liibanon; kai; viikingipäev
9,9,12,10,10,9,9,12,10,15,tootmisliin; tallinn; viktor; alatskivi; resolutsioon; janukovitš; lossipäev; vare; üro; iisrael; liibanon; kai; viikingipäev
