EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,7,3,7,9,8,8,10,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
11,11,6,5,7,9,8,10,10,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
11,11,9,5,7,10,8,10,10,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
11,11,8,5,7,10,8,10,10,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
11,13,11,6,7,10,8,9,11,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
9,13,10,8,9,8,9,11,11,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
9,12,11,9,7,11,10,12,10,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
7,12,13,11,10,11,11,13,9,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
8,10,12,13,12,11,10,11,7,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
6,12,13,13,11,12,12,12,9,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
6,11,13,12,11,12,12,11,9,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
