EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,2,6,4,1,1,5,4,11,eesti; töölisnaine; kirjanik; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
5,6,3,6,4,1,1,5,4,11,eesti; töölisnaine; kirjanik; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
5,7,3,6,5,2,1,6,4,11,eesti; töölisnaine; kirjanik; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
5,6,6,6,5,2,1,6,4,11,eesti; töölisnaine; kirjanik; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
5,5,5,7,5,3,2,5,4,11,eesti; töölisnaine; kirjanik; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
6,7,5,6,5,5,3,6,4,11,eesti; töölisnaine; kirjanik; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
5,6,9,6,4,3,5,5,3,11,töölisnaine; eesti; kirjanik; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
4,5,8,7,4,7,5,3,3,11,eesti; töölisnaine; kirjanik; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
3,5,4,5,4,6,5,3,3,11,eesti; kirjanik; töölisnaine; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
4,6,7,6,4,8,5,5,4,11,eesti; kirjanik; töölisnaine; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
4,5,7,7,4,8,5,5,3,11,eesti; kirjanik; töölisnaine; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
