EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,4,4,6,4,2,2,7,16,heinrich; piits; pille-riin; koer; purje; hoffmann; prints; hirm; jaak; pöia
4,5,4,4,6,4,2,2,7,16,heinrich; piits; pille-riin; koer; purje; hoffmann; prints; hirm; jaak; pöia
5,5,7,4,6,5,2,2,7,16,heinrich; piits; pille-riin; koer; purje; hoffmann; prints; hirm; jaak; pöia
5,5,7,5,7,5,3,5,7,16,heinrich; piits; pille-riin; koer; purje; hoffmann; prints; hirm; jaak; pöia
5,4,7,7,5,7,6,6,7,16,heinrich; piits; pille-riin; koer; purje; hoffmann; prints; hirm; jaak; pöia
6,5,9,7,5,7,6,7,7,16,heinrich; piits; pille-riin; koer; purje; hoffmann; prints; hirm; jaak; pöia
7,8,9,7,6,9,7,8,7,16,heinrich; hirm; piits; pille-riin; koer; purje; hoffmann; prints; jaak; pöia
6,9,8,6,7,8,8,8,7,16,heinrich; pille-riin; piits; koer; purje; hoffmann; prints; hirm; jaak; pöia
5,7,7,7,7,8,8,9,7,16,heinrich; hirm; pille-riin; piits; purje; koer; hoffmann; prints; jaak; pöia
6,8,8,5,7,6,8,8,7,16,heinrich; pille-riin; piits; purje; koer; hoffmann; prints; hirm; jaak; pöia
5,8,8,5,7,6,9,9,9,16,heinrich; hirm; pille-riin; piits; koer; purje; hoffmann; prints; jaak; pöia
