EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,10,4,4,9,7,10,9,12,esimene; sõna; raha; koolipäev; tarand; mari; aabits; kadakas; stiiliküsimus; lugu; tahv; õppevahend
8,9,10,5,4,9,8,10,9,12,esimene; raha; koolipäev; tarand; mari; aabits; tahv; kadakas; stiiliküsimus; lugu; sõna; õppevahend
8,9,10,4,4,8,8,10,9,12,esimene; raha; koolipäev; tarand; mari; aabits; tahv; kadakas; stiiliküsimus; lugu; sõna; õppevahend
10,9,10,4,4,9,8,10,8,12,esimene; sõna; raha; koolipäev; mari; aabits; tahv; kadakas; stiiliküsimus; lugu; tarand; õppevahend
8,9,10,4,5,9,9,10,9,12,esimene; sõna; raha; koolipäev; tarand; mari; aabits; kadakas; stiiliküsimus; lugu; tahv; õppevahend
9,9,11,3,6,9,11,11,10,12,esimene; sõna; raha; koolipäev; tarand; mari; aabits; kadakas; stiiliküsimus; lugu; tahv; õppevahend
9,11,11,9,7,10,11,12,10,12,esimene; sõna; raha; koolipäev; mari; aabits; tahv; kadakas; stiiliküsimus; lugu; tarand; õppevahend
9,11,11,9,9,10,10,12,10,12,esimene; raha; koolipäev; tarand; mari; aabits; tahv; kadakas; stiiliküsimus; lugu; sõna; õppevahend
9,12,11,10,9,8,11,12,11,12,esimene; raha; koolipäev; tarand; mari; aabits; tahv; kadakas; stiiliküsimus; lugu; sõna; õppevahend
9,12,10,10,10,9,11,11,10,12,esimene; raha; koolipäev; tarand; mari; aabits; tahv; kadakas; stiiliküsimus; lugu; sõna; õppevahend
10,12,11,11,10,10,11,10,11,12,esimene; raha; koolipäev; tarand; mari; aabits; tahv; kadakas; stiiliküsimus; lugu; sõna; õppevahend
