EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,12,9,9,6,10,8,10,7,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helin-mari; helilooja
7,12,9,9,6,10,8,11,7,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helin-mari; helilooja
7,11,8,9,6,10,8,10,7,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helin-mari; helilooja
7,12,7,9,6,9,8,10,6,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helin-mari; helilooja
7,11,7,9,6,9,9,9,6,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helin-mari; helilooja
8,10,9,9,7,9,9,9,6,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helin-mari; helilooja
10,8,10,9,7,8,10,9,7,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; helin-mari; muusika; helilooja
10,9,9,7,8,10,8,11,7,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helilooja; helin-mari
9,7,11,8,7,9,9,8,7,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helilooja; helin-mari
9,10,8,8,9,7,8,10,7,12,esinemine; arder; armastus; muusikakool; süda; õppima; luhats; muusikaõping; toomas; muusika; helilooja; helin-mari
8,7,8,8,9,7,8,8,8,12,esinemine; arder; muusikakool; armastus; süda; õppima; luhats; muusikaõping; toomas; muusika; helilooja; helin-mari
