lemma;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
koostööprojekt;1;no;7219;5042;932020281;22.792646700938494
eranditult;1;no;7220;5042;932020281;22.789850750252008
pidulikult;1;no;7295;5042;932020281;22.582091592271524
kirev;1;no;7313;5042;932020281;22.53279181679401
installatsioon;1;no;7480;5042;932020281;22.085458583194477
keskpaik;3;no;24949;5042;932020281;21.4630617324175
oksjon;2;no;16564;5042;932020281;21.183939250203643
kuuldavasti;1;no;7937;5042;932020281;20.94744623766606
raiuma;2;no;16909;5042;932020281;20.77429569135945
elamispind;1;no;8154;5042;932020281;20.44716165839004
tahk;1;no;8220;5042;932020281;20.299706492424612
kuulsam;1;no;8230;5042;932020281;20.277550127485625
kütmine;1;no;8556;5042;932020281;19.58083140790216
joodik;1;no;8561;5042;932020281;19.57051812992092
filiaal;1;no;8615;5042;932020281;19.459823070320077
ajalugu;22;no;212490;5042;932020281;19.05923639049869
kaisa;1;no;8886;5042;932020281;18.922687079446
kabinet;2;no;18902;5042;932020281;18.68681313732871
hirmutav;1;no;9069;5042;932020281;18.576437233106084
vaieldamatult;1;no;9135;5042;932020281;18.45464897569103
seismine;1;no;9233;5042;932020281;18.276729448762172
puudutus;1;no;9501;5042;932020281;17.807242822613414
heategevuslik;1;no;9684;5042;932020281;17.500279822328785
eestimaa;5;no;52266;5042;932020281;17.39140933392072
muusik;5;no;52668;5042;932020281;17.2609738132701
vaha;1;no;10019;5042;932020281;16.96493301536033
eralduma;1;no;10046;5042;932020281;16.923208443926672
laialdaselt;1;no;10177;5042;932020281;16.723646263817407
ammutama;1;no;10347;5042;932020281;16.471583602875288
omapoolne;1;no;10397;5042;932020281;16.3988871860876
väljapanek;2;no;21842;5042;932020281;16.27444896333255
tänapäevane;3;no;33304;5042;932020281;16.22519006092922
panipaik;1;no;10663;5042;932020281;16.02268223898223
lisaväärtus;1;no;10673;5042;932020281;16.00887555717469
vorst;1;no;10682;5042;932020281;15.99646987193146
südametunnistus;1;no;10692;5042;932020281;15.982708307958555
üldsegi;1;no;10782;5042;932020281;15.859911547050652
üürima;1;no;10816;5042;932020281;15.81401130346052
münt;2;no;23154;5042;932020281;15.387956434023518
üleskutse;2;no;23256;5042;932020281;15.323065982550592
