lemma;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
sõprusteater;2;no;19;454;932020281;4318.255160470158
külalisesinemine;2;no;128;454;932020281;3874.216663350831
ooperilavastus;2;no;189;454;932020281;3663.4022646553976
draamatrupp;2;no;194;454;932020281;3647.13522965403
kunanine;1;no;1;454;932020281;2201.281333358835
tornitaat;1;no;1;454;932020281;2201.281333358835
veerane;1;no;1;454;932020281;2201.281333358835
draamatrup;1;no;1;454;932020281;2201.281333358835
orsis;1;no;1;454;932020281;2201.281333358835
balletiprogramm;1;no;1;454;932020281;2201.281333358835
väärneväärne;1;no;1;454;932020281;2201.281333358835
üleeelne;1;no;1;454;932020281;2201.281333358835
olomoodsi;1;no;1;454;932020281;2201.281333358835
välisskulptuur;1;no;1;454;932020281;2201.281333358835
stegore;1;no;1;454;932020281;2201.281333358835
vastuolumahutus;1;no;1;454;932020281;2201.281333358835
parats;1;no;1;454;932020281;2201.281333358835
seoema;1;no;1;454;932020281;2201.281333358835
klaveriõht;1;no;1;454;932020281;2201.281333358835
lumetuis;1;no;1;454;932020281;2201.281333358835
laudalüürika;1;no;22;454;932020281;2152.8264850488176
vastastik;1;no;26;454;932020281;2143.8378382414594
pandma;1;no;28;454;932020281;2139.371603765645
omavaheliselt;1;no;36;454;932020281;2121.691217139401
siiasõit;1;no;59;454;932020281;2072.450148182704
palus;1;no;65;454;932020281;2059.978284644859
ärasõidupäev;1;no;70;454;932020281;2049.6991599419684
moraavia;1;no;121;454;932020281;1950.4278932406576
toimunud;1;no;241;454;932020281;1750.8990777717977
muusikainimene;1;no;287;454;932020281;1684.8285137025669
vilimaa;1;no;294;454;932020281;1675.2089341746505
tšehhoslovakkia;3;no;2771;454;932020281;1663.41415294818
mahuliselt;1;no;311;454;932020281;1652.2981640800078
astrahan;1;no;397;454;932020281;1545.3790717664117
kultuuriajakirjandus;1;no;399;454;932020281;1543.0569748099242
niu;1;no;417;454;932020281;1522.4679399838578
vahetav;1;no;493;454;932020281;1441.2708054717962
ostrava;1;no;719;454;932020281;1243.9823737153204
kultuuripäev;1;no;812;454;932020281;1177.6469291015746
vanamoodi;1;no;821;454;932020281;1171.600893880654
