lemma;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
pirgu;16;no;405;5430;932020281;2054.73058029855
ruth-kaja;3;no;13;5430;932020281;545.8722555449568
mõisaproua;5;no;708;5430;932020281;523.8629771684705
majandusjuht;4;no;400;5430;932020281;516.1356320769603
majapidajanna;4;no;470;5430;932020281;490.3660374890577
concordia;4;no;593;5430;932020281;450.8157289701416
kolu;5;no;1381;5430;932020281;371.4389856754272
martsus;2;no;1;5430;932020281;368.9282880412892
27.;2;no;1;5430;932020281;368.9282880412892
igalüht;2;no;1;5430;932020281;368.9282880412892
rektoritool;2;no;1;5430;932020281;368.9282880412892
ruhnus;2;no;1;5430;932020281;368.9282880412892
kaem;2;no;38;5430;932020281;354.85605993956807
ratsabaas;2;no;96;5430;932020281;334.8353931717157
lõpetanud;2;no;111;5430;932020281;330.0200209406404
helsing;2;no;177;5430;932020281;310.3798739070423
praegult;3;no;738;5430;932020281;308.8946632530141
elukäsitlus;2;no;186;5430;932020281;307.8813334846227
sidejaoskond;2;no;273;5430;932020281;285.6529308299108
mõisa;2;no;338;5430;932020281;271.03313240486165
mõisaomanik;2;no;715;5430;932020281;208.99413258477816
saunu;1;no;1;5430;932020281;184.9636081266129
improviseeritud;1;no;1;5430;932020281;184.9636081266129
persooniintervju;1;no;1;5430;932020281;184.9636081266129
rentsildendama;1;no;1;5430;932020281;184.9636081266129
arvatud;1;no;1;5430;932020281;184.9636081266129
programeen;1;no;1;5430;932020281;184.9636081266129
35.;1;no;1;5430;932020281;184.9636081266129
õdedvend;1;no;1;5430;932020281;184.9636081266129
virtina;1;no;1;5430;932020281;184.9636081266129
telekontroll;1;no;1;5430;932020281;184.9636081266129
maakoolihariduspõhi;1;no;1;5430;932020281;184.9636081266129
maakoolimaa;1;no;1;5430;932020281;184.9636081266129
raekoer;1;no;1;5430;932020281;184.9636081266129
öelgem;1;no;1;5430;932020281;184.9636081266129
rutkaja;1;no;1;5430;932020281;184.9636081266129
loengutsükk;1;no;1;5430;932020281;184.9636081266129
harjutusmasin;1;no;1;5430;932020281;184.9636081266129
mikspärane;1;no;1;5430;932020281;184.9636081266129
maol;1;no;1;5430;932020281;184.9636081266129
ajajaotamine;1;no;1;5430;932020281;184.9636081266129
ratsatunne;1;no;1;5430;932020281;184.9636081266129
kõrgtippkõrgkool;1;no;1;5430;932020281;184.9636081266129
küllustus;1;no;1;5430;932020281;184.9636081266129
dett;1;no;1;5430;932020281;184.9636081266129
silmapill;1;no;1;5430;932020281;184.9636081266129
