EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,8,7,6,7,8,8,7,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
6,7,8,7,5,7,8,8,7,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
6,7,8,7,6,7,8,8,7,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
6,7,8,7,5,7,8,8,7,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
6,7,7,7,7,7,6,8,7,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
6,4,7,7,7,7,5,8,7,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
6,4,8,8,7,8,4,7,7,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
6,5,7,7,7,8,5,6,7,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
7,6,7,7,7,7,5,6,7,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
7,6,7,7,8,7,5,7,7,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
6,6,6,7,7,8,5,7,8,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
