EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,7,8,6,10,8,10,8,7,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
11,7,8,6,10,8,9,7,7,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
10,7,8,6,10,8,8,8,7,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
10,8,8,7,10,8,6,8,7,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
10,7,8,7,10,9,6,8,7,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
10,7,9,7,10,8,7,8,7,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
9,6,8,8,10,7,7,10,8,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
9,6,7,9,10,7,6,10,8,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
6,7,8,10,10,7,6,9,8,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
4,4,8,11,12,8,8,7,9,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
3,4,6,13,13,8,6,9,10,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
