EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,8,6,4,2,5,6,5,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
8,7,8,6,4,2,6,6,5,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
8,7,7,6,5,4,6,6,5,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
8,7,7,6,5,6,6,7,5,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
8,8,6,6,6,6,8,7,5,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
7,8,6,6,6,7,8,7,4,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
4,7,7,8,6,8,9,7,4,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
5,7,7,6,6,8,9,7,4,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
4,8,7,8,6,7,7,8,3,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
4,8,6,7,6,6,9,7,4,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
3,7,6,8,5,6,9,8,5,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
