EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,5,7,2,2,1,2,6,3,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
1,5,7,2,2,1,2,6,3,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
1,5,6,2,2,3,2,6,3,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
1,5,6,2,3,3,2,6,3,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
1,4,6,2,3,2,6,5,2,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
1,4,5,2,3,0,5,5,3,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
1,5,3,3,5,2,4,3,3,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
1,4,2,3,5,3,5,2,2,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
0,3,4,3,3,3,5,1,3,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
1,3,1,3,5,2,5,2,1,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
0,2,2,4,4,2,5,2,2,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; lugema; käekiri
