EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,13,13,12,12,12,12,13,10,15,iraan; kasekamp; programm; kana; hääl; uus; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
13,13,13,12,12,12,12,13,10,15,iraan; kasekamp; programm; kana; hääl; uus; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
13,13,13,12,12,12,13,13,11,15,iraan; kasekamp; programm; kana; hääl; uus; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
13,13,13,12,12,13,13,13,11,15,iraan; kasekamp; programm; kana; hääl; uus; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
13,12,13,12,12,13,13,12,11,15,iraan; kasekamp; programm; kana; hääl; uus; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
13,12,13,12,12,12,13,12,11,15,iraan; kasekamp; programm; kana; hääl; uus; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
13,12,13,12,12,11,13,13,10,15,iraan; kasekamp; programm; kana; hääl; uus; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
13,12,13,11,12,11,13,13,10,15,iraan; kasekamp; programm; kana; hääl; uus; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
13,12,11,13,11,11,13,13,11,15,iraan; kasekamp; programm; kana; hääl; uus; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
13,12,11,13,13,11,12,13,12,15,iraan; kasekamp; programm; kana; hääl; uus; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
13,12,13,13,13,12,12,13,12,15,iraan; kasekamp; programm; kana; hääl; uus; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
