EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,4,2,3,2,3,3,4,11,sport; loeng; kihnu; saar; dünaamiline
4,5,4,2,3,2,2,3,4,11,sport; loeng; kihnu; saar; dünaamiline
4,5,4,2,3,3,1,3,4,11,sport; loeng; kihnu; saar; dünaamiline
4,5,4,3,4,3,2,3,4,11,sport; loeng; kihnu; saar; dünaamiline
4,5,5,3,4,3,3,3,4,11,sport; loeng; kihnu; saar; dünaamiline
4,5,5,3,4,3,3,3,5,11,sport; loeng; kihnu; saar; dünaamiline
4,3,4,2,4,3,4,3,5,11,sport; loeng; kihnu; saar; dünaamiline
5,3,5,2,4,2,5,4,5,11,sport; loeng; kihnu; saar; dünaamiline
5,3,5,3,4,3,4,5,5,11,sport; loeng; kihnu; saar; dünaamiline
5,3,4,3,4,2,5,4,5,11,sport; loeng; kihnu; saar; dünaamiline
4,3,4,3,4,3,5,4,5,11,sport; loeng; kihnu; saar; dünaamiline
