EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,6,4,6,5,4,4,6,11,raamat; sündmus; kreutzwald; jakobson; eesti; inimene
5,5,6,4,6,5,4,4,6,11,raamat; sündmus; kreutzwald; jakobson; eesti; inimene
5,5,6,5,6,4,4,4,5,11,raamat; sündmus; kreutzwald; jakobson; eesti; inimene
5,5,6,5,6,4,4,5,5,11,raamat; sündmus; kreutzwald; jakobson; eesti; inimene
5,5,6,5,6,4,5,5,5,11,raamat; sündmus; kreutzwald; jakobson; eesti; inimene
5,6,6,5,6,5,5,4,5,11,raamat; sündmus; kreutzwald; jakobson; eesti; inimene
5,5,6,6,6,5,6,5,5,11,raamat; sündmus; kreutzwald; jakobson; eesti; inimene
6,6,6,6,6,6,6,5,5,11,raamat; sündmus; kreutzwald; jakobson; eesti; inimene
6,6,6,6,6,6,6,6,5,11,raamat; sündmus; kreutzwald; jakobson; eesti; inimene
6,6,6,6,6,6,6,6,5,11,raamat; sündmus; kreutzwald; jakobson; eesti; inimene
6,6,6,6,6,6,6,6,5,11,raamat; sündmus; kreutzwald; jakobson; eesti; inimene
