EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,6,6,6,6,6,6,10,valitsus; teadlane; akadeemia; tulemus; õpe; teadus
6,6,6,6,6,6,6,6,6,10,valitsus; teadlane; akadeemia; tulemus; õpe; teadus
6,6,6,6,6,6,6,6,6,10,valitsus; teadlane; akadeemia; tulemus; õpe; teadus
6,6,6,6,6,6,6,6,6,10,valitsus; teadlane; akadeemia; tulemus; õpe; teadus
6,6,6,6,6,6,6,6,6,10,valitsus; teadlane; akadeemia; tulemus; õpe; teadus
6,6,6,6,6,6,6,6,6,10,valitsus; teadlane; akadeemia; tulemus; õpe; teadus
6,6,6,6,6,6,6,6,6,10,valitsus; teadlane; akadeemia; tulemus; õpe; teadus
6,6,6,6,6,6,6,6,6,10,valitsus; teadlane; akadeemia; tulemus; õpe; teadus
6,6,6,6,6,6,6,6,6,10,valitsus; teadlane; akadeemia; tulemus; õpe; teadus
6,6,6,6,6,6,6,6,6,10,valitsus; teadlane; akadeemia; tulemus; õpe; teadus
6,6,6,6,6,6,6,6,6,10,valitsus; teadlane; akadeemia; tulemus; õpe; teadus
