EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,7,5,6,3,6,7,4,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
8,8,6,5,6,3,6,7,4,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
7,8,5,6,8,3,6,7,4,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
7,8,5,7,8,4,6,6,4,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
7,7,6,7,8,4,6,5,4,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
7,7,6,7,8,6,6,7,4,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
7,7,6,7,8,6,7,7,4,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
7,7,6,7,8,7,8,8,4,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
7,7,7,7,8,6,7,7,7,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
6,7,7,6,6,9,7,7,9,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
6,7,7,6,7,9,7,6,9,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
