EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,8,8,8,6,7,8,8,6,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; süü; rõõm; toomas; ahnus
5,8,8,8,6,7,8,8,6,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; süü; rõõm; toomas; ahnus
5,7,7,8,6,8,8,8,6,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; süü; rõõm; toomas; ahnus
5,7,7,8,6,5,9,9,6,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; süü; rõõm; toomas; ahnus
5,7,6,8,6,6,9,8,6,12,tüdimus; seitse; aplus; hommikupalvus; liialdus; paul; surmapatu; darwin; süü; rõõm; toomas; ahnus
5,6,7,8,7,6,8,5,6,12,tüdimus; seitse; aplus; hommikupalvus; liialdus; paul; surmapatu; darwin; süü; rõõm; toomas; ahnus
7,5,7,7,7,7,5,10,6,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; süü; rõõm; toomas; ahnus
6,6,7,8,8,9,6,8,6,12,tüdimus; seitse; aplus; hommikupalvus; liialdus; paul; surmapatu; darwin; süü; rõõm; toomas; ahnus
5,6,11,6,8,8,5,5,8,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; süü; rõõm; toomas; ahnus
6,6,8,7,7,8,6,7,10,12,tüdimus; seitse; aplus; hommikupalvus; liialdus; paul; surmapatu; darwin; süü; rõõm; toomas; ahnus
5,7,8,6,8,8,6,5,10,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; süü; rõõm; toomas; ahnus
