EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,8,3,5,4,3,5,6,10,energia; tennisemäng; sööma; töö; võistlus; geim; mäng; pall; tervis
7,7,8,3,5,4,3,5,6,10,energia; tennisemäng; sööma; töö; võistlus; geim; mäng; pall; tervis
6,7,7,4,5,4,4,5,6,10,energia; tennisemäng; töö; sööma; võistlus; geim; mäng; pall; tervis
6,7,7,4,5,4,4,4,6,10,energia; tennisemäng; töö; sööma; võistlus; geim; mäng; pall; tervis
6,7,7,4,5,4,4,5,6,10,energia; tennisemäng; töö; sööma; võistlus; geim; mäng; pall; tervis
4,7,5,4,5,3,4,2,6,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
5,7,5,4,4,5,5,4,6,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
6,7,6,5,5,5,3,4,6,10,energia; tennisemäng; töö; sööma; võistlus; geim; mäng; pall; tervis
3,7,5,6,6,6,3,4,6,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
1,7,5,6,6,7,3,5,6,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
1,6,4,6,6,5,3,5,6,10,energia; tennisemäng; sööma; töö; võistlus; mäng; geim; pall; tervis
