EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,9,7,5,8,7,3,7,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; hernes; redel; kadri; poiss
7,5,9,6,5,8,8,4,7,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; hernes; redel; kadri; poiss
7,5,9,6,5,7,8,4,7,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; hernes; redel; kadri; poiss
7,5,10,5,6,8,10,4,7,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; hernes; redel; kadri; poiss
7,6,9,5,7,9,10,6,7,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; hernes; redel; kadri; poiss
6,7,9,5,7,8,10,6,7,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; hernes; redel; kadri; poiss
7,5,10,6,9,6,11,9,8,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; hernes; redel; kadri; poiss
5,6,8,5,8,7,10,9,10,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; hernes; redel; kadri; poiss
5,4,8,5,10,6,10,9,9,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; redel; hernes; kadri; poiss
5,5,9,5,9,7,10,6,12,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; redel; hernes; kadri; poiss
5,6,9,5,8,6,9,6,11,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; redel; hernes; kadri; poiss
